Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
-229,"Samsung Store: Monitor Samsung 34"" curvo (Pagando en una sola exhibición)",13593.0,,True,SamsungStore,Diego_Macias,2021-10-25,,https://www.promodescuentos.com/ofertas/monitor-samsung-34-curvo-662698,Tecnología,Computadoras y tablets,Monitores,,,,,,
232,Sam's Club: Vino rosado Giacobazzi 750 mL,85.0,,False,Sam'sClub,Selene_ValRodriguez,2021-10-25,Local,https://www.promodescuentos.com/ofertas/giacobazzi-662697,Abarrotes y alimentos,Bebidas,Vinos y licores,Vinos,,,,,
423,"Hurra Héroes, muñecos de papel personalizados e imprimibles GRATUITOS",,,False,,Miss,2021-10-25,,https://www.promodescuentos.com/ofertas/hurra-heroes-munecos-de-papel-personalizados-e-imprimibles-gratuitos-662696,Entretenimiento y tiempo libre,Gratis,Hobbies y manualidades,,,,,,
268,Chedraui: Hulkbuster,135.0,,False,Chedraui,Sango,2021-10-25,Local,https://www.promodescuentos.com/ofertas/hulkbuster-662695,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,,,,,,
422,"edX: Curso gratuito ""Pintura europea: Leonardo, Rembrandt, Goya"", impartido por la Universidad Carlos III de Madrid.",,,False,edX,Tsunset,2021-10-25,,https://www.promodescuentos.com/ofertas/curso-gratuito-pintura-europea-leonardo-rembrandt-goya-impartido-por-la-universidad-carlos-iii-de-madrid-662694,Gratis,Educación y cursos,,,,,,,
-175,Bodega Aurrera: Cable micro USB 2M marca Steren,43.0,,False,BodegaAurrera,ChableZero,2021-10-25,,https://www.promodescuentos.com/ofertas/aurrera-cable-micro-usb-2m-marca-steren-662690,Tecnología,Accesorios electrónicos,Cables,,,,,,
276,Amazon: PUMA Cool Cat Slides para Hombre,293.0,484.0,True,Amazon,Alfredo_lesa,2021-10-25,,https://www.promodescuentos.com/ofertas/puma-cool-cat-sandalia-de-meter-para-hombre-662688,Ropa y accesorios,Sandalias,Puma,,,,,,
70,Amazon: Funko Pop! Movies: Space Jam 2 - Lebron Leaping,278.0,,True,Amazon,penique,2021-10-25,,https://www.promodescuentos.com/ofertas/funko-pop-movies-space-jam-2-lebron-leaping-662686,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,
426,Laika: 40% de descuento en primera compra (compra mínima $500),40.0,,False,,Marifmb,2021-10-25,,https://www.promodescuentos.com/cupones/40-de-descuento-primera-compra-en-laika-662684,Abarrotes y alimentos,Mascotas,Artículos para perro,Artículos para gato,,,,,
765,Amazon: ADATA Disco Duro Externo 4TB HM800 USB 3.2 Grava Video 4K Juegos PS4 Xbox AHM800-4TU32G1-CUSBK,1899.0,,True,Amazon,Alex19860,,Mexico,https://www.promodescuentos.com/ofertas/amazon-adata-disco-duro-externo-4tb-hm800-usb-32-grava-video-4k-juegos-ps4-xbox-ahm800-4tu32g1-cusbk-656658,Tecnología,Almacenamiento externo,Discos duros externos,,,,,,
