Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
144,Chedraui cuchillo desechable neón,1.0,,False,Chedraui,tannya.sanchez,2021-10-26,,https://www.promodescuentos.com/ofertas/chedraui-cuchillo-desechable-neon-662889,Hogar,Accesorios de hogar y cocina,,,,,,,,,,
187,Bodega Aurrerá: TEATRO EN CASA LIQUIDACIÓN,1615.0,,False,BodegaAurrera,EdDeLuna,2021-10-26,,https://www.promodescuentos.com/ofertas/teatro-en-casa-liquidacion-662888,Tecnología,Audio y equipos de sonido,Boletos y eventos,Teatro en casa,Espectáculos,,,,,,,
233,Amazon: Western Digital WD_Black SN850 NVMe 1TB,4072.0,,False,Amazon,Gotchinezcki,2021-10-26,,https://www.promodescuentos.com/ofertas/western-digital-wd-black-sn850-nvme-1tb-662887,Tecnología,Computadoras y tablets,Computadoras armadas,SSD,,,,,,,,
221,Amazon México: Mattel - Juego de mesa Preguntados,229.0,429.0,False,Amazon,MarioAMV,2021-10-26,,https://www.promodescuentos.com/ofertas/amazon-mexico-mattel-juego-de-mesa-preguntados-662885,"Familia, bebés y niños",Juguetes,Juegos de mesa y otros juegos,Juegos de mesa,,,,,,,,
195,Amazon: Formula 1 - 2021 PS5-Serie X- PS4,815.0,,False,Amazon,rgbanda,2021-10-26,,https://www.promodescuentos.com/ofertas/formula-1-2021-ps5-serie-x-ps-662884,Videojuegos,Juegos,Juegos de PS4,PlayStation,Juegos de PS5,,,,,,,
282,Uber Eats: 40% de descuento (Usuarios seleccionados | topado a $200),,,False,UberEats,macahui,2021-10-26,,https://www.promodescuentos.com/ofertas/uber-eats-40-de-descuento-usuarios-seleccionados-topado-a-200-662883,Servicios y suscripciones,Restaurantes,Comida a domicilio,,,,,,,,,
126,Uber Eats 30% descuento siguente pedido,30.0,,False,UberEats,Atomic_Harry,2021-10-26,,https://www.promodescuentos.com/cupones/uber-eats-30-descuento-siguente-pedido-662881,Servicios y suscripciones,Restaurantes,Comida a domicilio,,,,,,,,,
265,Uber Eats: 50% de Descuento en un pedido,50.0,,False,UberEats,AldoEmmanuel,2021-10-26,,https://www.promodescuentos.com/cupones/uber-eats-50-de-descuento-en-un-pedido-662880,Servicios y suscripciones,Restaurantes,Comida a domicilio,,,,,,,,,
293,Uber Eats: 60% de descuento (Usuarios seleccionados | topado a $200),60.0,,False,UberEats,Gusvatto,2021-10-26,,https://www.promodescuentos.com/cupones/uber-eats-60-de-descuento-usuarios-seleccionados-topado-a-200-662876,Servicios y suscripciones,Restaurantes,Comida a domicilio,,,,,,,,,
35,Liverpool: adornos de halloween al 70%,271.0,905.0,False,Liverpool,ChrisFco,2021-10-26,,https://www.promodescuentos.com/ofertas/liverpool-adornos-de-halloween-al-70-662873,Hogar,Decoración y accesorios para el hogar,,,,,,,,,,
236,Bodega Aurrera: Acondicionador Sedal Brillo y Suavidad 650 ml.,10.0,45.0,False,BodegaAurrera,KaoKeane,2021-10-26,,https://www.promodescuentos.com/ofertas/bodega-aurrera-acondicionador-sedal-brillo-y-suavidad-650-ml-662872,Salud y belleza,Higiene y cuidado personal,Cuidado del cabello,,,,,,,,,
127,OfficeMax: 3x2 en sillas para oficina,2532.0,3799.0,False,OfficeMax,killerbeto,2021-10-26,,https://www.promodescuentos.com/ofertas/3x2-en-sillas-para-oficina-662871,Hogar,Muebles,,,,,,,,,,
592,"Udemy Español: Cursos Gratis con Certificado (Numbers, Excel, crea un CRUD, Fundamentos de Windows)",0.0,1099.0,False,Udemy,Koda,2021-10-26,,https://www.promodescuentos.com/ofertas/udemy-espanol-cursos-gratis-con-certificado-numbers-excel-crea-un-crud-fundamentos-de-windows-662869,Servicios y suscripciones,Educación y cursos,,,,,,,,,,
215,"Amazon, Pantalla TCL 50"" 4K 50A547 (2021)",9999.0,13799.0,False,Amazon,miguel_ba,2021-10-26,,https://www.promodescuentos.com/ofertas/pantalla-tcl-50-4k-50a547-2021-662867,Tecnología,Pantallas,Televisiones y video,Pantallas TCL,,,,,,,,
782,Shein Pre Buen Fin: Hasta 80% de Descuento + Cupón de Hasta 20% + Envío Gratis para Primera Compra y Más,,,False,Shein,rpunk77,2021-10-26,,https://www.promodescuentos.com/ofertas/shein-pre-buen-fin-hasta-80-de-descuento-cupon-de-hasta-20-envio-gratis-para-primera-compra-y-mas-662866,Ropa y accesorios,Ropa de mujer,,,,,,,,,,
335,Soriana Cerveza Guinness Oscura Lata 440 ml al 3 x 2,50.0,,False,Soriana,emartinez83,2021-10-26,,https://www.promodescuentos.com/ofertas/soriana-cerveza-guinness-oscura-lata-440-ml-al-3-x-2-662865,Abarrotes y alimentos,Bebidas,Vinos y licores,Cervezas,,,,,,,,
196,"Amazon: KAIWEETS HT118A Multimetro Digital Profesional, Polimetro Autorango con Valor Real 6000 Cuentas para Medir CA/CC Corriente y Tensión",899.0,,False,Amazon,ManuelABC,2021-10-26,,https://www.promodescuentos.com/ofertas/kaiweets-ht118a-multimetro-digital-profesional-polimetro-autorango-con-valor-real-6000-cuentas-para-medir-cacc-corriente-y-tension-662864,Jardín y hazlo tú mismo,Herramientas,,,,,,,,,,
162,Walmart: Biberon evenflo,80.0,,False,Walmart,ansanvel,2021-10-26,,https://www.promodescuentos.com/ofertas/biberon-evenflo-662862,"Familia, bebés y niños",Cuidado infantil,,,,,,,,,,
187,"Martí, compra $1,200 de Reebok y recibe tarjeta de regalo por $300",,,False,Martí,L_O,2021-10-26,,https://www.promodescuentos.com/ofertas/promocion-reebok-662860,Ropa y accesorios,Ropa deportiva,,,,,,,,,,
