Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
152,"Amazon: COOSEON Soporte para Cargador de Coche inalámbrico, Soporte para teléfono con Clip automático, Carga rápida.",169.0,699.0,False,Amazon,juancarlosbronski,2021-10-27,Local,https://www.promodescuentos.com/ofertas/cooseon-soporte-para-cargador-de-coche-inalambrico-soporte-para-telefono-con-clip-automatico-carga-rapida-663184,Tecnología,Accesorios electrónicos,Cargadores,,,,,,,,,
851,Costco: Apple iPad Air 256GB Verde con descuento,15699.0,19699.0,False,Costco,AFutureC,2021-10-27,,https://www.promodescuentos.com/ofertas/costco-apple-ipad-air-256gb-verde-con-descuento-663182,Tecnología,Computadoras y tablets,Tablets,Apple,iPad,iPad Air,,,,,,
137,Chedraui: 30% de descuento en artículos de Halloween del departamento de decoración,,,False,Chedraui,vlma,2021-10-27,,https://www.promodescuentos.com/ofertas/chedraui-30-de-descuento-en-articulos-de-halloween-del-departamento-de-decoracion-663181,Hogar,Decoración y accesorios para el hogar,,,,,,,,,,
232,"Eneba, Xbox Assasinss Creed Unity",23.0,,False,Eneba,Vicho21,2021-10-27,,https://www.promodescuentos.com/ofertas/xbox-assasinss-creed-unity-663180,Videojuegos,Juegos,Juegos de Xbox One,Xbox,,,,,,,,
166,"Amazon - Mattel Spirit, Lindos establos, Set de Juego",280.0,,False,Amazon,Annete_Martinez,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-mattel-spirit-lindos-establos-set-de-juego-663174,"Familia, bebés y niños",Juguetes,,,,,,,,,,
317,Amazon JP: Resident Evil 25 aniversario Box Sets Episode Selection para PS4,3790.0,,False,Amazon,TFNinty3,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-jp-resident-evil-25-aniversario-box-sets-episode-selection-para-ps4-663173,Videojuegos,Juegos de PS4,PlayStation,,,,,,,,,
141,"Amazon, Fisher price - Juego de comida para el niño que llevamos dentro o para la bendi",165.0,,False,Amazon,Annete_Martinez,2021-10-27,,https://www.promodescuentos.com/ofertas/fisher-price-juego-de-maridaje-para-el-nino-que-llevamos-dentro-o-para-la-bendi-663172,"Familia, bebés y niños",Juguetes,,,,,,,,,,
797,"Costco, Apple: HomePod mini",1999.0,2499.0,False,Costco,AlexisSyn,2021-10-27,,https://www.promodescuentos.com/ofertas/apple-homepod-mini-663176,Tecnología,Audio y equipos de sonido,Bocinas,Bocinas inteligentes,Apple,Apple HomePod Mini,,,,,,
369,Petco: 50%+40% Descuento en Juguetes,9.0,,False,Petco,saral,2021-10-27,,https://www.promodescuentos.com/ofertas/petco-5040-descuento-en-juguetes-663175,"Familia, bebés y niños",Mascotas,,,,,,,,,,
-304,"Linio, Laptop LENOVO Chromebook AMD Radeon A4 4GB",5999.0,7499.0,False,Linio,ManuelABC,2021-10-27,,https://www.promodescuentos.com/ofertas/laptop-lenovo-chromebook-amd-radeon-a4-4gb-663171,Tecnología,Computadoras y tablets,Laptops,Lenovo,Chromebooks,,,,,,,
148,Amazon: Máscara de Muerto Viviente Zombi Ciego,230.0,,False,Amazon,JamesDraco,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-mascara-de-muerto-viviente-zombi-ciego-663168,Ropa y accesorios,Accesorios de moda,,,,,,,,,,
367,Amazon: Jbl Gaming Audífonos Quantum 200,698.0,1600.0,False,Amazon,rafitagamer_04,2021-10-27,,https://www.promodescuentos.com/ofertas/jbl-gaming-audifonos-quantum-200-663166,Tecnología,Audio y equipos de sonido,Audífonos,Audífonos JBL,Headset,,,,,,,
274,XBOX: Assassin's Creed® The Ezio Collection (con Gold),240.0,799.0,False,Xbox,OmarLenin_ReyesAlonso,2021-10-27,,https://www.promodescuentos.com/ofertas/xbox-assassins-creed-the-ezio-collection-663165,Videojuegos,Juegos,Juegos de Xbox One,Xbox,,,,,,,,
305,Xbox: Red Dead Redemption (Con Gold),165.0,499.0,False,Xbox,OmarLenin_ReyesAlonso,2021-10-27,,https://www.promodescuentos.com/ofertas/red-dead-redemption-xboxcon-gold-663164,Videojuegos,Juegos,Juegos de Xbox One,Xbox,Red Dead Redemption,,,,,,,
258,Amazon: Audífonos tcl elit300,199.0,,False,Amazon,Juanca96,2021-10-27,,https://www.promodescuentos.com/ofertas/audifonos-tcl-elit300-663163,Tecnología,Audio y equipos de sonido,Audífonos,Audífonos In-Ear,,,,,,,,
-227,"Amazon: Paga en Oxxo en efectivo y ahorra $100, (Nuevos usuarios, Primera Compra)",,,False,Amazon,Mr_lugonga,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-paga-en-oxxo-en-efectivo-y-ahorra-100-nuevos-usuarios-663162,Servicios y suscripciones,,,,,,,,,,,
262,Amazon: Plants Vs Zombies Battle for Neighborville - Nintendo Switch,450.0,,False,Amazon,Monchito,2021-10-27,United States,https://www.promodescuentos.com/ofertas/amazon-plants-vs-zombies-battle-for-neighborville-nintendo-switch-663161,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,,,,
