Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
17,Liverpool: Hamilton khaki con BANORTE,4279.0,10190.0,True,Liverpool,ChristianV,2021-11-10,,https://www.promodescuentos.com/ofertas/liverpool-hamilton-khaki-con-banorte-668482,Ropa y accesorios,Accesorios de moda,Relojes,,,,,,
207,Amazon: Nintendo Switch 1.1 Animal Crossing pagando con HSBC,4899.0,,True,Amazon,xlulogcx,2021-11-10,,https://www.promodescuentos.com/ofertas/amazon-nintendo-switch-11-animal-crossing-pagando-con-hsbc-668481,Videojuegos,Consolas,Consola Nintendo Switch,Nintendo,,,,,
61,Suburbia: Transformers Ghostbusters Ecto-1,979.0,1399.0,False,Suburbia,Alfadube,2021-11-10,,https://www.promodescuentos.com/ofertas/suburbia-transformers-ghostbusters-ecto-1-668478,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,,,,,,
1293,Amazon cupón Buen Fin: 10% de descuento extra,,,False,Amazon,GordoLoco,2021-11-10,,https://www.promodescuentos.com/ofertas/amazon-10-de-descuento-extra-668480,Servicios y suscripciones,,,,,,,,
243,LIVERPOOL | SAMSUNG GALAXY S21 128GB | TDC BANORTE DIGITAL ($10253 con cupón),10792.0,15418.0,True,Liverpool,Ojuela,2021-11-10,,https://www.promodescuentos.com/ofertas/liverpool-samsung-galaxy-s21-128gb-tdc-banorte-digital-668477,Tecnología,Celulares,Celulares y telefonía,Celulares Samsung,Samsung Galaxy S21,,,,
171,Amazon MX: Hasta 25% de descuento en LIBROS (todos los géneros),,,False,Amazon,Joel_S,2021-11-10,,https://www.promodescuentos.com/ofertas/amazon-mx-hasta-25-de-descuento-en-libros-todos-los-generos-668474,Entretenimiento y tiempo libre,Libros y revistas,Libros,,,,,,
272,Linio Buen Fin 2021: 10% Toda la Tienda + Hasta 24 MSI + Promociones Bancarias + Séxtuples Puntos Premier,,,False,Linio,rpunk77,2021-11-10,,https://www.promodescuentos.com/ofertas/linio-10-toda-la-tienda-hasta-24-msi-promociones-bancarias-sextuples-puntos-premier-668451,Tecnología,,,,,,,,
147,Suburbia: Luigi's mansion 3 Nintendo switch,764.0,,False,Suburbia,Adal_Cano,2021-11-09,,https://www.promodescuentos.com/ofertas/suburbia-luigis-mansion-3-nintendo-668472,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,
174,Variedad de iPhones con súper descuento (HSBC o BANORTE),,,True,Suburbia,AlanMiranda,2021-11-09,,https://www.promodescuentos.com/ofertas/variedad-de-iphones-con-super-descuento-hsbc-o-banorte-668470,Tecnología,Celulares,Celulares y telefonía,iPhone,,,,,
63,Amazon: Xbox series S con TDC HSBC Digital,4724.0,,True,Amazon,SaulB,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-xbox-series-s-668468,Videojuegos,Consolas,Xbox,Consola Xbox Series S,,,,,
334,Amazon MX: Obtén $100 en la compra de $399 en libros,,,False,Amazon,Joel_S,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-mx-obten-100-en-la-compra-de-399-en-libros-668467,Entretenimiento y tiempo libre,Libros y revistas,Libros,,,,,,
213,Chedraui: Mario Kart 8 Deluxe - Nintendo Switch,783.0,,False,Chedraui,ZaidLeonhart,2021-11-09,,https://www.promodescuentos.com/ofertas/chedraui-mario-kart-8-deluxe-nintendo-switch-668466,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,
37,Walmart: Extractor de Leche Manual Medela Harmony,599.0,,False,Walmart,Alfredo9103,2021-11-09,,https://www.promodescuentos.com/ofertas/extractor-medela-manual-668462,"Familia, bebés y niños",Alimentos,Bebidas,,,,,,
174,Chedraui: Mario Maker 2 Nintendo Switch,783.0,,False,Chedraui,ZaidLeonhart,2021-11-09,,https://www.promodescuentos.com/ofertas/chedraui-mario-maker-2-nintendo-switch-668463,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,
